GRID10_NUTS2_3	total	nogo
AT111_10kmE479N271	400	0
AT111_10kmE479N272	4300	0
AT111_10kmE479N273	3200	0
AT111_10kmE479N274	1100	0
AT111_10kmE480N271	3800	0
AT111_10kmE480N272	9800	0
AT111_10kmE480N273	10000	0
AT111_10kmE480N274	7400	400
AT111_10kmE481N272	8400	0
AT111_10kmE481N273	10000	0
AT111_10kmE481N274	5400	400
AT111_10kmE482N272	1100	0
AT111_10kmE482N273	4400	0
AT111_10kmE482N274	1000	0
AT112_10kmE479N274	700	0
AT112_10kmE479N275	6700	100
AT112_10kmE479N276	4700	100
AT112_10kmE479N277	800	400
AT112_10kmE480N274	1000	0
AT112_10kmE480N275	7900	500
AT112_10kmE480N276	10000	400
AT112_10kmE480N277	8800	200
AT112_10kmE481N275	700	0
AT112_10kmE481N276	9900	200
AT112_10kmE481N277	8300	0
AT112_10kmE481N278	1000	0
AT112_10kmE482N275	3300	1500
AT112_10kmE482N276	10000	4200
AT112_10kmE482N277	10000	5300
AT112_10kmE482N278	9300	100
AT112_10kmE482N279	700	200
AT112_10kmE483N275	5300	300
AT112_10kmE483N276	10000	0
AT112_10kmE483N277	10000	1800
AT112_10kmE483N278	10000	200
AT112_10kmE483N279	5300	0
AT112_10kmE484N275	3800	0
AT112_10kmE484N276	9800	0
AT112_10kmE484N277	8300	0
AT112_10kmE484N278	10000	0
AT112_10kmE484N279	6800	0
AT112_10kmE484N280	900	0
AT112_10kmE485N275	500	0
AT112_10kmE485N276	400	0
AT112_10kmE485N277	300	0
AT112_10kmE485N278	1300	0
AT112_10kmE485N279	1200	0
AT113_10kmE477N265	800	0
AT113_10kmE477N270	600	0
AT113_10kmE477N271	1900	0
AT113_10kmE478N265	3000	0
AT113_10kmE478N266	6000	400
AT113_10kmE478N267	3800	0
AT113_10kmE478N268	6400	0
AT113_10kmE478N269	7200	400
AT113_10kmE478N270	9800	200
AT113_10kmE478N271	9200	0
AT113_10kmE478N272	300	0
AT113_10kmE479N266	2100	100
AT113_10kmE479N267	8900	0
AT113_10kmE479N268	10000	200
AT113_10kmE479N269	10000	0
AT113_10kmE479N270	10000	200
AT113_10kmE479N271	9600	0
AT113_10kmE479N272	1800	0
AT113_10kmE480N267	5000	0
AT113_10kmE480N268	10000	300
AT113_10kmE480N269	8800	0
AT113_10kmE480N270	9300	0
AT113_10kmE480N271	4400	0
AT113_10kmE481N267	1800	0
AT113_10kmE481N268	3400	0
AT113_10kmE481N269	1100	0
AT113_10kmE481N270	400	0
AT121_10kmE465N277	2400	0
AT121_10kmE465N278	6400	0
AT121_10kmE465N279	5800	0
AT121_10kmE465N280	500	100
AT121_10kmE466N276	300	0
AT121_10kmE466N277	8800	0
AT121_10kmE466N278	10000	400
AT121_10kmE466N279	7500	0
AT121_10kmE466N280	100	0
AT121_10kmE467N274	1200	0
AT121_10kmE467N275	5900	0
AT121_10kmE467N276	4900	0
AT121_10kmE467N277	10000	800
AT121_10kmE467N278	10000	400
AT121_10kmE467N279	6000	0
AT121_10kmE468N274	3000	0
AT121_10kmE468N275	10000	0
AT121_10kmE468N276	10000	0
AT121_10kmE468N277	10000	0
AT121_10kmE468N278	10000	200
AT121_10kmE468N279	9800	500
AT121_10kmE468N280	2100	0
AT121_10kmE468N281	1300	0
AT121_10kmE469N274	1300	0
AT121_10kmE469N275	9900	0
AT121_10kmE469N276	10000	0
AT121_10kmE469N277	10000	0
AT121_10kmE469N278	10000	0
AT121_10kmE469N279	10000	800
AT121_10kmE469N280	9400	0
AT121_10kmE469N281	7700	0
AT121_10kmE470N275	9600	0
AT121_10kmE470N276	9400	0
AT121_10kmE470N277	10000	0
AT121_10kmE470N278	10000	0
AT121_10kmE470N279	10000	0
AT121_10kmE470N280	10000	900
AT121_10kmE470N281	8200	0
AT121_10kmE471N275	900	0
AT121_10kmE471N276	4700	0
AT121_10kmE471N277	5700	0
AT121_10kmE471N278	9200	0
AT121_10kmE471N279	10000	0
AT121_10kmE471N280	9800	0
AT121_10kmE471N281	3800	0
AT121_10kmE472N278	3100	0
AT121_10kmE472N279	7200	0
AT121_10kmE472N280	5800	0
AT121_10kmE472N281	5100	0
AT121_10kmE473N279	200	0
AT121_10kmE473N281	300	0
AT122_10kmE470N275	100	0
AT122_10kmE470N276	600	0
AT122_10kmE471N275	2600	0
AT122_10kmE471N276	5200	0
AT122_10kmE472N275	1800	0
AT122_10kmE472N276	9200	0
AT122_10kmE472N277	1700	0
AT122_10kmE473N275	6300	0
AT122_10kmE473N276	10000	0
AT122_10kmE473N277	9600	0
AT122_10kmE473N278	6000	0
AT122_10kmE474N275	9200	0
AT122_10kmE474N276	10000	0
AT122_10kmE474N277	10000	0
AT122_10kmE474N278	9900	300
AT122_10kmE474N279	600	0
AT122_10kmE475N274	8000	600
AT122_10kmE475N275	10000	0
AT122_10kmE475N276	10000	0
AT122_10kmE475N277	10000	0
AT122_10kmE475N278	9800	100
AT122_10kmE475N279	200	0
AT122_10kmE476N273	6800	0
AT122_10kmE476N274	9900	600
AT122_10kmE476N275	10000	0
AT122_10kmE476N276	10000	0
AT122_10kmE476N277	10000	0
AT122_10kmE476N278	9500	0
AT122_10kmE476N279	600	0
AT122_10kmE477N272	1100	0
AT122_10kmE477N273	10000	0
AT122_10kmE477N274	10000	300
AT122_10kmE477N275	10000	1800
AT122_10kmE477N276	10000	100
AT122_10kmE477N277	9900	0
AT122_10kmE477N278	3800	0
AT122_10kmE478N272	6600	0
AT122_10kmE478N273	9900	0
AT122_10kmE478N274	10000	0
AT122_10kmE478N275	10000	1900
AT122_10kmE478N276	10000	1700
AT122_10kmE478N277	6300	1200
AT122_10kmE479N272	3900	0
AT122_10kmE479N273	6800	0
AT122_10kmE479N274	8200	0
AT122_10kmE479N275	3300	100
AT122_10kmE479N276	5300	500
AT122_10kmE479N277	3500	100
AT123_10kmE471N276	100	0
AT123_10kmE471N277	4300	0
AT123_10kmE471N278	800	0
AT123_10kmE472N276	800	0
AT123_10kmE472N277	8300	0
AT123_10kmE472N278	6900	0
AT123_10kmE472N279	2800	0
AT123_10kmE472N280	4200	0
AT123_10kmE472N281	100	0
AT123_10kmE473N277	400	0
AT123_10kmE473N278	4000	0
AT123_10kmE473N279	9800	800
AT123_10kmE473N280	10000	1100
AT123_10kmE473N281	7600	0
AT123_10kmE474N278	100	0
AT123_10kmE474N279	9400	0
AT123_10kmE474N280	10000	200
AT123_10kmE474N281	9600	400
AT123_10kmE474N282	3200	0
AT123_10kmE475N278	200	0
AT123_10kmE475N279	9800	0
AT123_10kmE475N280	9100	200
AT123_10kmE475N281	2400	0
AT123_10kmE475N282	700	0
AT123_10kmE476N279	2500	0
AT123_10kmE476N280	6400	1000
AT123_10kmE476N281	700	0
AT124_10kmE466N283	100	0
AT124_10kmE466N284	1800	0
AT124_10kmE466N285	400	0
AT124_10kmE467N283	2200	0
AT124_10kmE467N284	10000	0
AT124_10kmE467N285	8600	0
AT124_10kmE467N286	2100	0
AT124_10kmE468N281	100	0
AT124_10kmE468N282	5200	0
AT124_10kmE468N283	8500	0
AT124_10kmE468N284	10000	0
AT124_10kmE468N285	10000	0
AT124_10kmE468N286	5900	300
AT124_10kmE468N287	3600	0
AT124_10kmE468N288	4300	0
AT124_10kmE469N281	2000	0
AT124_10kmE469N282	10000	0
AT124_10kmE469N283	10000	0
AT124_10kmE469N284	10000	0
AT124_10kmE469N285	10000	0
AT124_10kmE469N286	10000	400
AT124_10kmE469N287	10000	0
