Spat_code	unit	B_3_99
AT11_10kmE477N271	ha	440
AT11_10kmE477N271	flg	
AT11_10kmE478N265	ha	340
AT11_10kmE478N265	flg	
AT11_10kmE478N266	ha	700
AT11_10kmE478N266	flg	
AT11_10kmE478N267	ha	330
AT11_10kmE478N267	flg	
AT11_10kmE478N268	ha	780
AT11_10kmE478N268	flg	
AT11_10kmE478N269	ha	490
AT11_10kmE478N269	flg	
AT11_10kmE478N270	ha	1350
AT11_10kmE478N270	flg	
AT11_10kmE478N271	ha	1140
AT11_10kmE478N271	flg	
AT11_10kmE479N266	ha	190
AT11_10kmE479N266	flg	
AT11_10kmE479N267	ha	600
AT11_10kmE479N267	flg	
AT11_10kmE479N268	ha	1250
AT11_10kmE479N268	flg	
AT11_10kmE479N269	ha	390
AT11_10kmE479N269	flg	
AT11_10kmE479N270	ha	750
AT11_10kmE479N270	flg	
AT11_10kmE479N271	ha	1060
AT11_10kmE479N271	flg	
AT11_10kmE479N272	ha	460
AT11_10kmE479N272	flg	
AT11_10kmE479N273	ha	70
AT11_10kmE479N273	flg	
AT11_10kmE479N275	ha	250
AT11_10kmE479N275	flg	
AT11_10kmE479N276	ha	200
AT11_10kmE479N276	flg	
AT11_10kmE480N267	ha	750
AT11_10kmE480N267	flg	
AT11_10kmE480N268	ha	770
AT11_10kmE480N268	flg	
AT11_10kmE480N269	ha	380
AT11_10kmE480N269	flg	
AT11_10kmE480N270	ha	800
AT11_10kmE480N270	flg	
AT11_10kmE480N271	ha	90
AT11_10kmE480N271	flg	
AT11_10kmE480N272	ha	400
AT11_10kmE480N272	flg	
AT11_10kmE480N273	ha	450
AT11_10kmE480N273	flg	
AT11_10kmE480N274	ha	680
AT11_10kmE480N274	flg	
AT11_10kmE480N275	ha	920
AT11_10kmE480N275	flg	
AT11_10kmE480N276	ha	1150
AT11_10kmE480N276	flg	
AT11_10kmE480N277	ha	480
AT11_10kmE480N277	flg	
AT11_10kmE481N267	ha	100
AT11_10kmE481N267	flg	
AT11_10kmE481N268	ha	470
AT11_10kmE481N268	flg	
AT11_10kmE481N272	ha	200
AT11_10kmE481N272	flg	
AT11_10kmE481N273	ha	170
AT11_10kmE481N273	flg	
AT11_10kmE481N274	ha	150
AT11_10kmE481N274	flg	
AT11_10kmE481N276	ha	1440
AT11_10kmE481N276	flg	
AT11_10kmE481N277	ha	550
AT11_10kmE481N277	flg	
AT11_10kmE482N272	ha	0
AT11_10kmE482N272	flg	-1
AT11_10kmE482N273	ha	60
AT11_10kmE482N273	flg	
AT11_10kmE482N276	ha	130
AT11_10kmE482N276	flg	
AT11_10kmE482N277	ha	340
AT11_10kmE482N277	flg	
AT11_10kmE482N278	ha	830
AT11_10kmE482N278	flg	
AT11_10kmE483N275	ha	600
AT11_10kmE483N275	flg	
AT11_10kmE483N276	ha	4540
AT11_10kmE483N276	flg	
AT11_10kmE483N277	ha	2920
AT11_10kmE483N277	flg	
AT11_10kmE483N278	ha	680
AT11_10kmE483N278	flg	
AT11_10kmE483N279	ha	150
AT11_10kmE483N279	flg	
AT11_10kmE484N275	ha	320
AT11_10kmE484N275	flg	
AT11_10kmE484N276	ha	1020
AT11_10kmE484N276	flg	
AT11_10kmE484N277	ha	350
AT11_10kmE484N277	flg	
AT11_10kmE484N278	ha	830
AT11_10kmE484N278	flg	
AT11_10kmE484N279	ha	730
AT11_10kmE484N279	flg	
AT11_10kmE485N279	ha	40
AT11_10kmE485N279	flg	
AT12_10kmE465N277	ha	1430
AT12_10kmE465N277	flg	
AT12_10kmE465N278	ha	1550
AT12_10kmE465N278	flg	
AT12_10kmE465N279	ha	600
AT12_10kmE465N279	flg	
AT12_10kmE466N277	ha	5590
AT12_10kmE466N277	flg	
AT12_10kmE466N278	ha	2410
AT12_10kmE466N278	flg	
AT12_10kmE466N279	ha	1040
AT12_10kmE466N279	flg	
AT12_10kmE467N275	ha	760
AT12_10kmE467N275	flg	
AT12_10kmE467N276	ha	540
AT12_10kmE467N276	flg	
AT12_10kmE467N277	ha	5540
AT12_10kmE467N277	flg	
AT12_10kmE467N278	ha	2410
AT12_10kmE467N278	flg	
AT12_10kmE467N279	ha	1930
AT12_10kmE467N279	flg	
AT12_10kmE467N284	ha	2110
AT12_10kmE467N284	flg	
AT12_10kmE467N285	ha	1990
AT12_10kmE467N285	flg	
AT12_10kmE467N286	ha	570
AT12_10kmE467N286	flg	
AT12_10kmE468N274	ha	100
AT12_10kmE468N274	flg	
AT12_10kmE468N275	ha	2110
AT12_10kmE468N275	flg	
AT12_10kmE468N276	ha	2180
AT12_10kmE468N276	flg	
AT12_10kmE468N277	ha	6080
AT12_10kmE468N277	flg	
AT12_10kmE468N278	ha	4440
AT12_10kmE468N278	flg	
AT12_10kmE468N279	ha	4430
AT12_10kmE468N279	flg	
AT12_10kmE468N280	ha	530
AT12_10kmE468N280	flg	
AT12_10kmE468N282	ha	980
AT12_10kmE468N282	flg	
AT12_10kmE468N283	ha	2800
AT12_10kmE468N283	flg	
AT12_10kmE468N284	ha	2910
AT12_10kmE468N284	flg	
AT12_10kmE468N285	ha	2610
AT12_10kmE468N285	flg	
AT12_10kmE468N286	ha	810
AT12_10kmE468N286	flg	
AT12_10kmE468N287	ha	170
AT12_10kmE468N287	flg	
AT12_10kmE468N288	ha	340
AT12_10kmE468N288	flg	
AT12_10kmE469N275	ha	1280
AT12_10kmE469N275	flg	
AT12_10kmE469N276	ha	1500
AT12_10kmE469N276	flg	
AT12_10kmE469N277	ha	4690
AT12_10kmE469N277	flg	
AT12_10kmE469N278	ha	4750
AT12_10kmE469N278	flg	
AT12_10kmE469N279	ha	2390
AT12_10kmE469N279	flg	
AT12_10kmE469N280	ha	2690
AT12_10kmE469N280	flg	
AT12_10kmE469N281	ha	1470
AT12_10kmE469N281	flg	
AT12_10kmE469N282	ha	1200
AT12_10kmE469N282	flg	
AT12_10kmE469N283	ha	2240
AT12_10kmE469N283	flg	
AT12_10kmE469N284	ha	2120
AT12_10kmE469N284	flg	
AT12_10kmE469N285	ha	2000
AT12_10kmE469N285	flg	
AT12_10kmE469N286	ha	1780
AT12_10kmE469N286	flg	
AT12_10kmE469N287	ha	2190
AT12_10kmE469N287	flg	
AT12_10kmE469N288	ha	1670
AT12_10kmE469N288	flg	
AT12_10kmE470N276	ha	1020
AT12_10kmE470N276	flg	
AT12_10kmE470N277	ha	2810
AT12_10kmE470N277	flg	
AT12_10kmE470N278	ha	5640
AT12_10kmE470N278	flg	
AT12_10kmE470N279	ha	2710
AT12_10kmE470N279	flg	
AT12_10kmE470N280	ha	2240
AT12_10kmE470N280	flg	
AT12_10kmE470N281	ha	2660
AT12_10kmE470N281	flg	
AT12_10kmE470N282	ha	2330
AT12_10kmE470N282	flg	
AT12_10kmE470N283	ha	1870
AT12_10kmE470N283	flg	
AT12_10kmE470N284	ha	1020
AT12_10kmE470N284	flg	
AT12_10kmE470N285	ha	1950
AT12_10kmE470N285	flg	
AT12_10kmE470N286	ha	2210
AT12_10kmE470N286	flg	
AT12_10kmE470N287	ha	2120
AT12_10kmE470N287	flg	
AT12_10kmE470N288	ha	1140
AT12_10kmE470N288	flg	
AT12_10kmE471N275	ha	440
AT12_10kmE471N275	flg	
AT12_10kmE471N276	ha	630
AT12_10kmE471N276	flg	
AT12_10kmE471N277	ha	3240
AT12_10kmE471N277	flg	
AT12_10kmE471N278	ha	4920
