Spat_code	Unit	C_LIVEST_L	AGRAREA	B_1	B_1_1	B_1_1_1	B_1_1_2	B_1_1_3	B_1_1_4	B_1_1_5	B_1_1_6	B_1_1_7	B_1_1_99	B_1_2	B_1_2_1	B_1_2_2	B_1_345	B_1_3	B_1_4	B_1_5	B_1_6	B_1_6_1	B_1_6_2	B_1_6_3	B_1_6_4	B_1_6_5	B_1_6_6	B_1_6_7	B_1_6_8	B_1_6_9	B_1_6_10	B_1_6_11	B_1_6_7_11	B_1_6_12	B_1_6_99	B_1_7	B_1_7_1	B_1_7_1_1	B_1_7_1_2	B_1_7_2	B_1_8	B_1_8_1	B_1_8_2	B_1_9	B_1_9_1	B_1_9_2	B_1_9_2_1	B_1_9_2_2	B_1_9_2_2_99	B_1_9_2_99	B_1_10_11	B_1_10	B_1_11	B_1_12	B_1_12_1	B_1_12_2	B_2	B_3	B_3_1	B_3_2	B_3_3	B_4	B_4_1	B_4_1_1	B_4_1_1_1	B_4_1_1_2	B_4_1_2	B_4_1_3	B_4_2	B_4_3	B_4_3_1	B_4_3_2	B_4_4	B_4_4_1	B_4_4_2	B_4_4_3	B_4_4_4	B_4_5	B_4_6	B_4_7	C_1L	C_1_3L	C_2_1_2_5L	C_2L	C_21399L	C_2_1L	C_2_2L	C_2_3L	C_2_4L	C_2_5L	C_2_6L	C_2_99L	C_2_6_99L	C_3L	C_3_1L	C_3_1_1L	C_3_1_99L	C_3_2L	C_3_2_1L	C_3_2_99L	C_4_5_6L	C_4L	C_4_1L	C_4_2L	C_4_99L	C_5L	C_5_1L	C_5_2L	C_5_3L	C_6L
AT	ha	2517170	2878170	1371290	814800	286360	17470	49050	169080	32750	202610	0	57470	24380	17910	6470	67170	22170	44760	230	153240	0	240	0	53950	25420	34440	670	32250	0	540	0	33470	4040	1690	13970	13580	13380	200	390	440	210	240	246670	60110	186560	81620	88710	104940	16230	7520	1810	5710	43110	21570	21530	2200	1439470	886470	549520	3480	65200	14810	13850	13850	0	960	0	0	0	0	0	46620	46620	0	0	0	1790	1980	0	64770	1546550	682500	1433970	1481780	251050	124500	192560	17570	96810	539970	211500	751470	47810	39760	21390	18370	8050	4710	3340	970620	792120	23710	144600	623810	178510	48000	89650	40860	0
AT	flg																															-1																																																																														
BE	ha	3798680	1358020	836670	339100	219090	0	460	44810	4880	62530	0	7330	2050	1690	360	145170	81760	59300	4100	31650	70	200	0	11280		0	80	30	10970	0	0	11070	130	8900	42410	41010	30440	10560	1400	1860	1260	600	263300	79350	183950	176310	4890	7640	2750	1540	1540	0	9590	2010	7580	130	499690	491230	2940	5510	21530	16680	16360	16360	0	320		0	0	0	0			0	0	0	4730	50	60	29680	1876050	888150	1831120	1846370	303340	89090	264350	33530	197840	520700	422260	942970	15250	12050	9800	2250	3200	2990	210	1922630	1578550	45010	261900	1271640	340590	153300	163590	23710	3490
BE	flg																																																																																																													
BG	ha	1149470	4475530	3124930	1787800	1129240	20500	12160	252340	25370	315150	12180	20860	8350	2130	6220	13740	13550	40	140	1076990	24610	0	570	223190	732500	560	0	19390	0	0	0	19420	72930	3120	24470	23430	14120	9310	1050	230	190	40	105990	1090	104900	20520	75880	84380	8500	880	530	340	106490	106490	0	10360	1240590	628070	556460	56060	99650	45500	33620	33620	0	2400	9480	0	0	0	0	52340	23320	26160	2850	0	1330	470	0	90110	744430	124270	473920	654330	57420	12610	28010	6460	19780	333790	15860	349650	180400	141520	127250	14270	38890	34430	4460	405030	177390	3800	36770	136810	224750	52950	110250	61540	2900
BG	flg																						-1					-1		-1	-1																																														-1																																	
CH	ha	1793750	1047800	405340	151510	91130	0	2250	28950	1790	16900	0	10500	3820	3820	0	29640	10870	17840	920	27720	570	20	0	21810	3560	1090	0	30	150	0	0	180	270	230	10800	10250	1850	8400	550	540	310	220	178160	131400	46760	46760	0	0	0	760	380	380	2390	0	2390	180	619650	479480	140170	0	22630	7820	7360	7360	0	460	0	0	0	0	0	13100	13100	0	0	0	990	730	0	66020	1282090	485920	1163970	1216080	202770	21760	159340	7050	94990	589020	89030	678060	52110	43410	24050	19350	8700	5470	3220	511650	420890	8280	69790	342820	88760	39060	47090	2610	2000
CH	flg																														-1																																																																															
CY	ha	200750	118400	84870	33280	90	7740	90	24150	910	20	0	270	670	90	580	4170	4170	0	0	100	0	0	0	0	0	0	0	40	0	0	0	40	40	0	3980	3600	740	2860	370	90	30	60	32860	390	32470	440	1590	32030	30450	260	0	260	9460	1370	8100	40	2140	1230	780	130	31340	6970	3490	3100	400	0	3470	3760	11640	200	11440	7620	560	6310	740	20	50	1290	10	1020	91160	17570	39230	90140	6760	630	5740	320	4130	20520	1140	21660	50910	26750	18100	8650	24160	17170	6990	109590	76600	2910	17230	56460	32480	16820	7710	7960	500
CY	flg																					-1	-1			-1									-1																	-1																																																										
CZ	ha	1722460	3483500	2517490	1450760	830900	0	31010	383540	51910	100190	0	53200	30840	27500	3340	82440	25410	56370	660	502630	0	5750	0	367690	27220	9370	3970	79540	20	0	0	83530	7740	1320	9100	9100	9100	0	0	330	330	0	399970	36000	363970	180600	7070	183370	176300	3960	520	3440	37460	9510	27950	240	928820	909010	10100	9710	36950	20500	19320	19320	0	1180	0	0	0	0	0	14350	12530	1640	190	0	2110	0	0	20160	1001070	444960	960810	980900	151020	77800	139900	18090	58150	380880	134960	515850	20090	18400	11730	6670	1690	1050	640	721390	457210	15150	95000	347050	264100	107050	125880	31170	90
CZ	flg																																																																																																													
DE	ha	17792560	16704040	11846670	6595450	3276600	21090	627110	1641320	157240	466590	0	405480	100650	97530	3120	624320	254370	364120	5840	1537710	2360	18390	0	1461200	24970		6860	9240		1150	150	17400	6840	6560	121560	120580	107020	13560	980	8380	6330	2060	2570970	386850	2184120	1828900	245990	355210	109220	35230	26210	9020	252390	7490	244890	3930	4654690	4443940	187960	22790	198760	65290	57480	57480	0	7040	760	0	0	0	0	97010	96830		180	0	20860	15480	120	369420	9653340	4363070	9060070	9283920	1518520	725560	1379250	93560	646190	4164790	532210	4697000	223850	208850	133800	75050	14990	7550	7440	8139230	6389910	232860	1182410	4974650	1749310	472720	493910	782690	
DE	flg																																																																																																													
